TimeStamp, Electrode, BrainWave, Value
13:51:16.119744,O2,Gamma,10.8527751000703,
13:51:16.290200,AF3,Theta,0.84042676964249,
13:51:16.290200,AF3,Alpha,0.304292025642158,
13:51:16.290200,AF3,Low_Beta,0.302828534363149,
13:51:16.290200,AF3,High_Beta,0.15526212118039,
13:51:16.290200,AF3,Gamma,0.136208036886009,
13:51:16.290200,AF4,Theta,0.945340918194272,
13:51:16.290200,AF4,Alpha,0.73858760696612,
13:51:16.290200,AF4,Low_Beta,1.82326266104522,
13:51:16.290200,AF4,High_Beta,1.70094611103072,
13:51:16.290200,AF4,Gamma,4.07628005758214,
13:51:16.290200,T7,Theta,2.1528821012659,
13:51:16.290200,T7,Alpha,0.750059561585466,
13:51:16.290200,T7,Low_Beta,0.582691602100106,
13:51:16.290200,T7,High_Beta,0.96325553939122,
13:51:16.290200,T7,Gamma,2.5072833402147,
13:51:16.290200,T8,Theta,9.465283917337,
13:51:16.290200,T8,Alpha,3.73413326508537,
13:51:16.290200,T8,Low_Beta,2.71515583660484,
13:51:16.290200,T8,High_Beta,5.63631218081712,
13:51:16.290200,T8,Gamma,13.1550164840178,
13:51:16.290200,F3,Theta,9.38507960630767,
13:51:16.290200,F3,Alpha,3.90851684249374,
13:51:16.290200,F3,Low_Beta,2.19386995061655,
13:51:16.290200,F3,High_Beta,5.17205893270409,
13:51:16.290200,F3,Gamma,12.3776606166966,
13:51:16.290200,F4,Theta,0.610598896989541,
13:51:16.290200,F4,Alpha,0.445855257834546,
13:51:16.290200,F4,Low_Beta,0.523536333832241,
13:51:16.290200,F4,High_Beta,0.203592109756643,
13:51:16.290200,F4,Gamma,0.243230737474273,
13:51:16.290200,F7,Theta,0.389936743191776,
13:51:16.290200,F7,Alpha,0.230682751569229,
13:51:16.290200,F7,Low_Beta,0.116118026800238,
13:51:16.290200,F7,High_Beta,0.117175650705535,
13:51:16.290200,F7,Gamma,0.261903400230141,
13:51:16.290200,F8,Theta,3.23206066441699,
13:51:16.290200,F8,Alpha,1.49477830579553,
13:51:16.290200,F8,Low_Beta,2.47483872595241,
13:51:16.290200,F8,High_Beta,3.4746289391785,
13:51:16.290200,F8,Gamma,8.24875557563284,
13:51:16.290200,FC5,Theta,0.166749781340676,
13:51:16.290200,FC5,Alpha,0.122885037125318,
13:51:16.290200,FC5,Low_Beta,0.153313493355963,
13:51:16.290200,FC5,High_Beta,0.109053547417182,
13:51:16.290200,FC5,Gamma,0.143850062382066,
13:51:16.290200,FC6,Theta,1.73075834059989,
13:51:16.290200,FC6,Alpha,0.775951091422356,
13:51:16.290200,FC6,Low_Beta,1.70109699766093,
13:51:16.290200,FC6,High_Beta,1.35314555491116,
13:51:16.290200,FC6,Gamma,4.60219085273537,
13:51:16.290200,P7,Theta,2.04537760971424,
13:51:16.290200,P7,Alpha,1.01804676877982,
